rank,candidate_id,testcase_class,source_file,reason
87,8,org.apache.activemq.network.MQTTNetworkOfBrokersFailoverTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/network/MQTTNetworkOfBrokersFailoverTest.java,
88,45,org.apache.activemq.transport.stomp.Stomp12NIOSSLTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/Stomp12NIOSSLTest.java,
89,77,org.apache.activemq.transport.stomp.Stomp12NIOTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/Stomp12NIOTest.java,
90,73,org.apache.activemq.transport.stomp.auto.StompAutoNioSslTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/auto/StompAutoNioSslTest.java,
91,84,org.apache.activemq.transport.stomp.auto.StompAutoSslAuthTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/auto/StompAutoSslAuthTest.java,
92,60,org.apache.activemq.transport.stomp.StompSslAuthTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/StompSslAuthTest.java,
93,87,org.apache.activemq.transport.mqtt.MQTTProtocolConverterTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTProtocolConverterTest.java,
94,46,org.apache.activemq.transport.mqtt.auto.MQTTAutoNioTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/auto/MQTTAutoNioTest.java,
95,81,org.apache.activemq.transport.reliable.ReliableTransportTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/reliable/ReliableTransportTest.java,
96,61,org.apache.activemq.jaas.CertificateLoginModuleTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jaas/src/test/java/org/apache/activemq/jaas/CertificateLoginModuleTest.java,
97,111,org.apache.activemq.jaas.PropertiesLoginModuleTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jaas/src/test/java/org/apache/activemq/jaas/PropertiesLoginModuleTest.java,
98,3,org.apache.activemq.store.leveldb.LevelDBNegativeQueueTest,.,
99,29,org.apache.activemq.store.kahadb.KahaDBStoreOrderTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/store/kahadb/KahaDBStoreOrderTest.java,
100,32,org.apache.activemq.store.kahadb.JournalCorruptionIndexRecoveryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/JournalCorruptionIndexRecoveryTest.java,
101,58,org.apache.activemq.store.kahadb.JournalMetaDataCheckpointTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/JournalMetaDataCheckpointTest.java,
102,59,org.apache.activemq.leveldb.test.LevelDBFastEnqueueTest,.,
103,94,org.apache.activemq.store.kahadb.disk.index.HashIndexTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/disk/index/HashIndexTest.java,
104,97,org.apache.activemq.store.kahadb.JournalArchiveTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/JournalArchiveTest.java,
105,100,org.apache.activemq.store.kahadb.disk.journal.JournalMaxFileLengthChangeTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/disk/journal/JournalMaxFileLengthChangeTest.java,
106,104,org.apache.activemq.leveldb.test.LevelDBPlistTest,.,
107,1,org.objectweb.jtests.jms.conform.message.MessageBodyTest,.,
108,30,org.objectweb.jtests.jms.conform.connection.TopicConnectionTest,.,
109,56,org.objectweb.jtests.jms.conform.message.properties.MessagePropertyTest,.,
110,95,org.objectweb.jtests.jms.conform.message.MessageDefaultTest,.,
111,17,org.apache.activemq.usecases.MessageGroupLateArrivalsTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/MessageGroupLateArrivalsTest.java,
