时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-14T14:30:33.957Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,26474,443,0,0,26917,,
2026-07-14T14:30:54.962Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,43839,1104,26880,0,44943,,
2026-07-14T14:30:56.368Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,43839,1104,26880,0,44943,,
2026-07-14T14:30:56.894Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,43839,1104,26880,0,44943,,
2026-07-14T14:30:57.358Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,43839,1104,26880,0,44943,,
2026-07-14T14:32:23.820Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,6732,23402,71808,0,30134,,
2026-07-14T14:35:10.378Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,16005,140,86016,0,16145,,
2026-07-14T14:35:20.961Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,150,229,102144,0,379,,
2026-07-14T14:35:22.526Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,150,229,102144,0,379,,
2026-07-14T14:35:24.696Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,3956,222,102400,0,4178,,
2026-07-14T14:35:47.868Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,2035,354,106240,0,2389,,
2026-07-14T14:36:00.964Z,bfa6a399-434c-4606-bc2e-449058e26916,deepseek-v4-pro,201,638,108544,0,839,,
